"orgUnit","period","csb","net_p2","wealth_index","imp_water","imp_latrine","edu_prim","rotavirus","kitchen_outside","reimbursement","staff_support","chw_support","month_since_llin","build_density","twi_rice","elevation","stream_dist","csb_dist","fete_nationale","winter_season","summer_season","csb_type"
"mBZLeZ7Irx6","201911","CSB2 AMBOHIMANGA DU SUD",0.272690312794567,2.95055850275897,0.157831592512407,0.583712255290841,0.799544266847217,0.0577277309232492,0.246712647272672,1,1,0,15,15.5833333333333,8.91865938259513,604.497957019039,716.922308574769,6791.06458073887,0,0,1,"CSB2"
"WCqkkkKNJEi","201911","CSB1 AMBODIMANGA NORD",0.289864790195146,3.30810184477985,0.0883994835330492,0.500084475595753,0.907819103634008,0.0671254154126383,0.219252237764806,0,0,0,15,41.8,8.76458322412341,633.140762339765,842.527681989319,4690.9316352139,0,0,1,"CSB1"
"YCvVB1VwWi0","201911","CSB1 MAROMANANA",0.234354753279476,2.90742670092607,0.147082788400093,0.560833857866351,0.756888203965207,0.0583322182727534,0.204285866816525,0,0,0,15,23.8333333333333,8.66868091498134,660.492688197135,488.269052494937,6847.86395484976,0,0,1,"CSB1"
"D9UWDj19ljP","201911","CSB2 AMBOHIMIERA",0.195543281872591,2.59781499034809,0.145438485190106,0.593650841440197,0.705856959911005,0.054840935578293,0.166322280485229,0,1,0,15,17.1,8.87465936304293,698.679298569867,478.925876921912,8729.68057341825,0,0,1,"CSB2"
"U1YeJp3NDNV","201911","CSB2 AMPASINAMBO",0.298389053384625,3.18455230435664,0.0240497580241157,0.598301010775345,0.895155062825621,0.0574853743091529,0.145638879628133,0,0,0,15,17.0625,8.92575938484654,730.761661338889,203.822223446096,8342.15659201675,0,0,1,"CSB2"
"hXuxS0MOq3b","201911","CSB2 ANALAMPASINA",0.23659026596777,3.19321769568733,0.184237673923674,0.495176309301469,0.885904642646868,0.0640319185718718,0.224535631996898,0,0,0,15,24.6666666666667,8.98905143231129,662.37689392944,605.13203730064,5453.02643937896,0,0,1,"CSB2"
"z6kDxHwInUT","201911","CSB2 ANDRORANGAVOLA",0.228661769503666,2.42225225428714,0.136710216915808,0.556777170441287,0.620344571908683,0.0712103967809442,0.231043197255789,0,1,0,15,6.79166666666667,8.86363732219183,327.984808628016,319.09124899632,7779.9593422556,0,0,1,"CSB2"
"h0z1bKoHDrU","201911","CSB1 MAHASOA",0.283414402583325,2.34582839242428,0.0953931070400637,0.458252304696911,0.745518716494357,0.0646879651908475,0.215793910182967,0,0,0,15,6.5,8.36080299441302,224.054043264245,408.092945672335,4027.49597247663,0,0,1,"CSB1"
"okDqhh9n4yT","201911","CSB2 ANTARETRA",0.26957014571505,3.04191364100109,0.227967419501747,0.800311308156065,0.781682967837926,0.0748587842351297,0.284911401510032,1,1,1,15,9.8,8.80376414355619,242.813149331428,288.635125946739,8094.93261124589,0,0,1,"CSB2"
"pczrAub8lnt","201911","CSB2 ANTSINDRA",0.246929509466624,2.63490628781239,0.0899533686714186,0.637542668226386,0.720371947707633,0.056579462471909,0.2590733740515,0,0,0,15,14,8.82791155452434,391.877661490839,470.713580074275,8796.54727794204,0,0,1,"CSB2"
